qfix, qfluct,cost,p,time,colapso
0.4,0.2,5,0.89,190.7,no colapso
0.4,0.2,5,0.9,12.9,colapso
0.4,0.2,5,0.9,184.5,no colapso
0.4,0.2,5,0.91,12.7,colapso
0.4,0.2,5,0.91,188.7,no colapso
0.4,0.2,5,0.92,12.6,colapso
0.4,0.2,5,0.92,188.9,no colapso
0.4,0.2,5,0.93,12.8,colapso
0.4,0.2,5,0.93,188.6,no colapso
0.4,0.2,5,0.94,12.6,colapso
0.4,0.2,5,0.94,189.2,no colapso
0.4,0.2,5,0.95,12.7,colapso
0.4,0.2,5,0.95,189.4,no colapso
0.4,0.2,5,0.96,12.6,colapso
0.4,0.2,5,0.96,189.2,no colapso
0.4,0.2,5,0.97,12.8,colapso
0.4,0.2,5,0.97,189.4,no colapso
0.4,0.2,5,0.98,12.8,colapso
0.4,0.2,5,0.98,189.7,no colapso
0.4,0.2,5,0.99,12.8,colapso
0.4,0.2,5,0.99,189.2,no colapso
0.4,0.2,5,1,12.9,colapso
0.4,0.2,5,1,183,no colapso
